target_point,product_floor,baseline_feasible,r_0436_fixed_zero_feasible,r_0942_fixed_zero_feasible,both_fixed_zero_feasible
1,0.071566,true,false,false,false
2,0.070843,true,false,false,false
3,0.070120,true,false,false,false
4,0.069398,true,false,false,false
5,0.068675,true,false,false,false
6,0.067952,true,false,false,false
7,0.067229,true,false,false,false
8,0.066506,true,false,false,false
9,0.065783,true,false,false,false
10,0.065060,true,false,false,false
11,0.064337,true,false,false,false
