figure_id,promoter_id,promoter_group,condition,normalized_gfp_rfu_od_est,significance_or_note,data_status,recommended_use,light_center_wavelength_nm,light_intensity_uW_cm2,illumination_protocol,total_culture_time_h,measurement_protocol,sample_identity,replicate_definition,error_bar_type
Fig.12,R5,red-light promoter,+Light,1900,****; main usable functional verification,approximate_digitization,model feature / verified channel,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.12,R5,red-light promoter,Control,720,****; main usable functional verification,approximate_digitization,baseline,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.12,R11,red-light promoter,+Light,1985,****; main usable functional verification,approximate_digitization,model feature / verified channel,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.12,R11,red-light promoter,Control,685,****; main usable functional verification,approximate_digitization,baseline,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.12,R13,red-light promoter,+Light,1550,****; main usable functional verification,approximate_digitization,model feature / verified channel,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.12,R13,red-light promoter,Control,800,****; main usable functional verification,approximate_digitization,baseline,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.13,R5,red-light promoter,+Light,1120,suboptimal due to light-source equipment,approximate_digitization,model feature / verified channel,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.13,R5,red-light promoter,Control,1050,suboptimal due to light-source equipment,approximate_digitization,baseline,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.13,R11,red-light promoter,+Light,1480,suboptimal due to light-source equipment,approximate_digitization,model feature / verified channel,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.13,R11,red-light promoter,Control,1550,suboptimal due to light-source equipment,approximate_digitization,baseline,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.13,R13,red-light promoter,+Light,1100,suboptimal due to light-source equipment,approximate_digitization,model feature / verified channel,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
Fig.13,R13,red-light promoter,Control,1220,suboptimal due to light-source equipment,approximate_digitization,baseline,630,200,2 h pulse,24,EGFP Ex/Em 485/528 nm; OD600; normalized EGFP/OD600,manual_confirmation_required,manual_confirmation_required,manual_confirmation_required
