"record_id","round_label","decision_stage","strain_or_target","condition","value","unit","time_h","data_status","source_figure","source_file_internal","feedback_label","notes"
"R0-OD-R1-000","Round0","model_input_generation","initial_AST","OD replicate 1","0.2","OD600","0","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Initial engineered strain"
"R0-OD-R2-000","Round0","model_input_generation","initial_AST","OD replicate 2","0.2","OD600","0","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Initial engineered strain"
"R0-OD-R1-003","Round0","model_input_generation","initial_AST","OD replicate 1","0.878","OD600","3","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-003","Round0","model_input_generation","initial_AST","OD replicate 2","0.902","OD600","3","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-006","Round0","model_input_generation","initial_AST","OD replicate 1","2.61","OD600","6","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-006","Round0","model_input_generation","initial_AST","OD replicate 2","2.58","OD600","6","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-009","Round0","model_input_generation","initial_AST","OD replicate 1","4.96","OD600","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-009","Round0","model_input_generation","initial_AST","OD replicate 2","5.06","OD600","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-012","Round0","model_input_generation","initial_AST","OD replicate 1","5.89","OD600","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-012","Round0","model_input_generation","initial_AST","OD replicate 2","6.15","OD600","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-024","Round0","model_input_generation","initial_AST","OD replicate 1","6.96","OD600","24","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-024","Round0","model_input_generation","initial_AST","OD replicate 2","8.34","OD600","24","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-048","Round0","model_input_generation","initial_AST","OD replicate 1","10.78","OD600","48","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-048","Round0","model_input_generation","initial_AST","OD replicate 2","12.82","OD600","48","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-072","Round0","model_input_generation","initial_AST","OD replicate 1","11.24","OD600","72","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-072","Round0","model_input_generation","initial_AST","OD replicate 2","12.02","OD600","72","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-096","Round0","model_input_generation","initial_AST","OD replicate 1","12.68","OD600","96","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-096","Round0","model_input_generation","initial_AST","OD replicate 2","13.16","OD600","96","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-120","Round0","model_input_generation","initial_AST","OD replicate 1","12.4","OD600","120","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-120","Round0","model_input_generation","initial_AST","OD replicate 2","13.42","OD600","120","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R1-144","Round0","model_input_generation","initial_AST","OD replicate 1","14.14","OD600","144","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-OD-R2-144","Round0","model_input_generation","initial_AST","OD replicate 2","15.34","OD600","144","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","",""
"R0-GLC-R1-003","Round0","model_input_generation","initial_AST","glucose replicate 1","16.8","reported_scale_unit_not_explicit","3","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R2-003","Round0","model_input_generation","initial_AST","glucose replicate 2","17.2","reported_scale_unit_not_explicit","3","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R1-006","Round0","model_input_generation","initial_AST","glucose replicate 1","12.1","reported_scale_unit_not_explicit","6","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R2-006","Round0","model_input_generation","initial_AST","glucose replicate 2","12.2","reported_scale_unit_not_explicit","6","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R1-009","Round0","model_input_generation","initial_AST","glucose replicate 1","4.1","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R2-009","Round0","model_input_generation","initial_AST","glucose replicate 2","4.1","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R1-012","Round0","model_input_generation","initial_AST","glucose replicate 1","0","reported_scale_unit_not_explicit","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-GLC-R2-012","Round0","model_input_generation","initial_AST","glucose replicate 2","0","reported_scale_unit_not_explicit","12","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
"R0-ETH-R1-009","Round0","model_input_generation","initial_AST","ethanol replicate 1","7.5","reported_scale_unit_not_explicit","9","exact_transcription","Preliminary Fermentation Table","docs/evidence/records/round0-fermentation-complete-transcript.csv","","Unit not explicit in extracted table"
