gene,footprint,footprint_size,mutant_growth,solver_status,finite,mass_balance_residual,bound_residual,solver_message,admission_reason
Q0045,r_0438,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
Q0080,r_0226,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
Q0085,r_0226,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
Q0105,r_0439,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
Q0130,r_0226,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
Q0250,r_0438,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
Q0275,r_0438,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YAL012W,r_0310,1,0.0,optimal,True,9.094947017729282e-13,3.774403012357652e-11,Optimization terminated successfully. (HiGHS Status 7: Optimal),mutant_growth_below_0.1_WT
YAL022C,r_1109;r_1132,2,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YAL023C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YAL026C,r_3821;r_3822;r_3823;r_3824;r_3825;r_3826;r_3827;r_3828;r_3885;r_3886;r_3887;r_3888;r_3889;r_3890;r_3891;r_3892,16,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YAL035W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YAL038W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YAL039C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YAL044C,r_0501;r_0504;r_0506;r_0507;r_0508;r_0509;r_1030,7,0.08093802601840153,optimal,True,9.712563465749875e-08,9.712563465749877e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YAL054C,r_0113,1,0.08093802601840926,optimal,True,9.712563465750803e-08,9.712563465750804e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YAL060W,r_0003,1,0.08093802601837483,optimal,True,9.712563465746671e-08,9.712563465746672e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YAL061W,r_4153;r_4154,2,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YAL062W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YAR015W,r_0908,1,0.0,optimal,True,3.410605131648481e-13,1.6591173201347018e-11,Optimization terminated successfully. (HiGHS Status 7: Optimal),mutant_growth_below_0.1_WT
YAR035W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YAR071W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBL011W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBL013W,r_0728,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBL015W,r_0111;r_4039,2,0.08093802601819704,optimal,True,9.712563465725338e-08,9.712563465725338e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YBL030C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBL033C,r_0525,1,0.0,optimal,True,1.7663042745591e-13,2.385782426661219e-12,Optimization terminated successfully. (HiGHS Status 7: Optimal),mutant_growth_below_0.1_WT
YBL039C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBL042C,r_1274;r_1735,2,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YBL045C,r_0439,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YBL064C,r_0551,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBL068W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBL076C,r_0665,1,0.0,optimal,True,1.9895196601282805e-13,1.8118839761882555e-13,Optimization terminated successfully. (HiGHS Status 7: Optimal),mutant_growth_below_0.1_WT
YBL080C,r_4155,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBL091C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBL098W,r_0671,1,0.0,optimal,True,2.446931546273845e-13,2.3857997429430545e-12,Optimization terminated successfully. (HiGHS Status 7: Optimal),mutant_growth_below_0.1_WT
YBL099W,r_0226,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YBR001C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBR002C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBR003W,r_1047,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR004C,r_0521,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR006W,r_1023,1,0.08093802601840926,optimal,True,9.712563465750803e-08,9.712563465750804e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YBR011C,r_0568,1,0.08093802601841006,optimal,True,9.7125634657509e-08,9.712563465750901e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YBR018C,r_0459;r_1071,2,0.08093802601837478,optimal,True,9.712563465746667e-08,9.712563465746668e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YBR019C,r_1070;r_4750,2,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR020W,r_0458,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR021W,r_1272,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
YBR022W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBR023C,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBR026C,r_2151;r_2152;r_2153,3,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR029C,r_2432;r_2433;r_2434;r_2435;r_2436;r_2437;r_2438;r_2439;r_2440,9,0.0,optimal,True,1.822986206434507e-13,1.3677947663381929e-13,Optimization terminated successfully. (HiGHS Status 7: Optimal),mutant_growth_below_0.1_WT
YBR034C,r_0541,1,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR035C,r_0953;r_0954;r_0955;r_0956,4,0.08093802601827223,optimal,True,9.71256346573436e-08,9.712563465734361e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),eligible
YBR036C,r_0747;r_0748;r_0749;r_0750;r_0751;r_0752;r_0753;r_0754;r_0755;r_0756,10,nan,not_solved,False,nan,nan,not_solved,no_unblocked_internal_reaction
YBR038W,,0,nan,not_solved,False,nan,nan,not_solved,empty_effective_footprint
YBR039W,r_0226,1,nan,not_solved,False,nan,nan,not_solved,protected_reaction_in_footprint
