gene,condition,footprint,footprint_size,actual_footprint_match,WT_mu_max,mutant_mu_max,growth_status,growth_finite,growth_mass_balance_residual,growth_bound_residual,growth_solver_message,GR,status_0.1,Pmin_0.1,Pmax_0.1,PCR_0.1,status_0.5,Pmin_0.5,Pmax_0.5,PCR_0.5,status_0.9,Pmin_0.9,Pmax_0.9,PCR_0.9,GCP,Pmin95,Pmax95,status_95mut
YAL044C,v2a_historical_ethanol_stage,r_0501;r_0504;r_0506;r_0507;r_0508;r_0509;r_1030,7,True,0.010416437798675585,0.010416437573451445,optimal,True,1.249972553026774e-08,1.249972553026774e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783780076,optimal,0.0,0.010432182041545758,0.9999997776760582,optimal,0.0,0.0059022450568511145,0.9999998372104643,optimal,0.0,0.0011804472696733616,0.9999529832583648,0.0,0.0,0.0005902247704019728,optimal
YAL054C,v2a_historical_ethanol_stage,r_0113,1,True,0.010416437798675585,0.009619684262550235,optimal,True,1.1543621523368068e-08,1.1543621523368068e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9235099799447125,optimal,0.0,0.00839292029639593,0.8045218533403976,optimal,0.0,0.004498094699324768,0.7620988155787929,optimal,0.0,0.00025809444141256833,0.21863094886424891,0.0,0.0,0.0005069201929372615,optimal
YAL060W,v2a_historical_ethanol_stage,r_0003,1,True,0.010416437798675585,0.010416437573581233,optimal,True,1.2499725530423484e-08,1.2499725530423484e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783904675,optimal,0.0,0.010432178298972576,0.999999418923466,optimal,0.0,0.005902245056586228,0.9999998371655854,optimal,0.0,0.0011804472206439422,0.9999529417257056,0.0,0.0,0.0005902226503579609,optimal
YBL015W,v2a_historical_ethanol_stage,r_0111;r_4039,2,True,0.010416437798675585,0.009702094738799696,optimal,True,1.1642514098365337e-08,1.1642514098365337e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9314215594925633,optimal,0.0,0.00977276096126874,0.9367895182072523,optimal,0.0,0.005095970818162495,0.8633951893740082,optimal,0.0,0.0003711509631053932,0.31440075497751674,0.0,0.0,0.0005500978277818602,optimal
YBR006W,v2a_historical_ethanol_stage,r_1023,1,True,0.010416437798675585,0.010416437573557263,optimal,True,1.249972553039472e-08,1.249972553039472e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783881663,optimal,0.0,0.010432178804720471,0.9999994674030439,optimal,0.0,0.005902246017801398,1.0000000000214146,optimal,0.0,0.0011804489996400515,0.9999544487074339,0.0,0.0,0.0005902246144579026,optimal
YBR011C,v2a_historical_ethanol_stage,r_0568,1,True,0.010416437798675585,0.010416437653930978,optimal,True,1.2499725626843182e-08,1.2499725626843182e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861042125,optimal,0.0,0.010432178827153214,0.9999994695533839,optimal,0.0,0.005902245011280715,0.9999998294896069,optimal,0.0,0.0011804489993046691,0.9999544484233326,0.0,0.0,0.0005902812026998207,optimal
YBR018C,v2a_historical_ethanol_stage,r_0459;r_1071,2,True,0.010416437798675585,0.010416437653954507,optimal,True,1.2499725626871417e-08,1.2499725626871417e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861064713,optimal,0.0,0.010432169309680949,0.9999985572351258,optimal,0.0,0.00590224601749753,0.9999999999699312,optimal,0.0,0.0011804472697216667,0.999952983299284,0.0,0.0,0.0005902227020367126,optimal
YBR035C,v2a_historical_ethanol_stage,r_0953;r_0954;r_0955;r_0956,4,True,0.010416437798675585,0.01041643765394145,optimal,True,1.2499725626855748e-08,1.2499725626855748e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861052178,optimal,0.0,0.010432230759431947,1.0000044476362988,optimal,0.0,0.005902276853019604,1.0000052243407862,optimal,0.0,0.0011804489996384468,0.9999544487060746,0.0,0.0,0.0005902832018384944,optimal
YBR097W,v2a_historical_ethanol_stage,r_2852;r_2853;r_2854;r_2855;r_2856;r_2857;r_2858;r_2859,8,True,0.010416437798675585,0.01041643765393099,optimal,True,1.2499725626843195e-08,1.2499725626843195e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861042136,optimal,0.0,0.01043217849416667,0.9999994376342255,optimal,0.0,0.00590224606332702,1.0000000077346853,optimal,0.0,0.001180449081386634,0.999954517954694,0.0,0.0,0.000590224614168987,optimal
YBR159W,v2a_historical_ethanol_stage,r_2161;r_2162;r_2163;r_2164;r_2165;r_2166;r_2167,7,True,0.010416437798675585,0.010416437573544428,optimal,True,1.2499725530379318e-08,1.2499725530379318e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783869341,optimal,0.0,0.010432146567595783,0.9999963772424818,optimal,0.0,0.005902246099761715,1.0000000139077077,optimal,0.0,0.0011804492293015553,0.9999546432529353,0.0,0.0,0.0005902812374736185,optimal
YBR183W,v2a_historical_ethanol_stage,r_0919,1,True,0.010416437798675585,0.010416437654053045,optimal,True,1.2499725626989662e-08,1.2499725626989662e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861159311,optimal,0.0,0.010432178617709785,0.9999994494767228,optimal,0.0,0.005902276898225291,1.0000052319998514,optimal,0.0,0.001180448999761741,0.9999544488105168,0.0,0.0,0.0005902245278615472,optimal
YBR196C,v2a_historical_ethanol_stage,r_0467,1,True,0.010416437798675585,0.0,optimal,True,2.7307785662363326e-13,3.979039320256561e-12,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,growth_floor_infeasible,,,,growth_floor_infeasible,,,,growth_floor_infeasible,,,,0.0,0.0,0.011283785051582772,optimal
YBR208C,v2a_historical_ethanol_stage,r_0191;r_1075,2,True,0.010416437798675585,0.010416437653883524,optimal,True,1.2499725626786237e-08,1.2499725626786237e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999860996568,optimal,0.0,0.010432178617946347,0.999999449499399,optimal,0.0,0.005902245056782554,0.9999998371988482,optimal,0.0,0.0011804489992768073,0.999954448399731,0.0,0.0,0.0005902832710494856,optimal
YBR221C,v2a_historical_ethanol_stage,r_0961,1,True,0.010416437798675585,0.010416437653930983,optimal,True,1.2499725626843187e-08,1.2499725626843187e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861042129,optimal,0.0,0.010432178500578307,0.9999994382488271,optimal,0.0,0.00590224609976515,1.0000000139082894,optimal,0.0,0.0011804491469468957,0.9999545734905751,0.0,0.0,0.0005902225639078963,optimal
YBR281C,v2a_historical_ethanol_stage,r_4171,1,True,0.010416437798675585,0.010416437573528003,optimal,True,1.249972553035961e-08,1.249972553035961e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783853573,optimal,0.0,0.010432178819294983,0.9999994688001158,optimal,0.0,0.005902246017679142,1.0000000000007012,optimal,0.0,0.0011804471385677075,0.9999528721991983,0.0,0.0,0.0005902226502632138,optimal
YCL004W,v2a_historical_ethanol_stage,r_2536;r_2537;r_2538;r_2539;r_2540;r_2541,6,True,0.010416437798675585,0.010416437653932013,optimal,True,1.2499725626844424e-08,1.2499725626844424e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861043118,optimal,0.0,0.01043217829903721,0.9999994189296616,optimal,0.0,0.005902245056797735,0.9999998372014204,optimal,0.0,0.0011804472698975078,0.9999529834482384,0.0,0.0,0.0005902245282716401,optimal
YCL050C,v2a_historical_ethanol_stage,r_0223;r_0224;r_1026,3,True,0.010416437798675585,0.010416437653930985,optimal,True,1.249972562684319e-08,1.249972562684319e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999861042131,optimal,0.0,0.010432193144005222,1.0000008419267539,optimal,0.0,0.0059022449838494594,0.9999998248420108,optimal,0.0,0.0011804472696289184,0.9999529832207171,0.0,0.0,0.0005902227023444548,optimal
YCL064C,v2a_historical_ethanol_stage,r_0689;r_0692,2,True,0.010416437798675585,0.010416437573580984,optimal,True,1.2499725530423185e-08,1.2499725530423185e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783904435,optimal,0.0,0.010432146567664042,0.999996377249025,optimal,0.0,0.005902246099324226,1.000000013833585,optimal,0.0,0.0011804489993804163,0.9999544484874978,0.0,0.0,0.0005902227885948676,optimal
YCR005C,v2a_historical_ethanol_stage,r_0301,1,True,0.010416437798675585,0.010416437573509614,optimal,True,1.2499725530337542e-08,1.2499725530337542e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783835919,optimal,0.0,0.010432169310321725,0.9999985572965486,optimal,0.0,0.005902245056798176,0.999999837201495,optimal,0.0,0.0011804491471212974,0.9999545736383102,0.0,0.0,0.0005902247706405653,optimal
YCR012W,v2a_historical_ethanol_stage,r_0892,1,True,0.010416437798675585,0.0,optimal,True,8.676948048957911e-13,4.231443896437718e-12,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,growth_floor_infeasible,,,,growth_floor_infeasible,,,,growth_floor_infeasible,,,,0.0,0.0,0.011283785051580855,optimal
YCR034W,v2a_historical_ethanol_stage,r_2156,1,True,0.010416437798675585,0.010416437573557183,optimal,True,1.2499725530394624e-08,1.2499725530394624e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783881587,optimal,0.0,0.01043218201921773,0.9999997755357559,optimal,0.0,0.005902246017485257,0.9999999999678518,optimal,0.0,0.0011804491471341886,0.9999545736492303,0.0,0.0,0.0005902246144002578,optimal
YCR036W,v2a_historical_ethanol_stage,r_0332;r_0969,2,True,0.010416437798675585,0.01041643757360945,optimal,True,1.2499725530457346e-08,1.2499725530457346e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783931764,optimal,0.0,0.010432178812865293,0.9999994681837837,optimal,0.0,0.005902246063058779,1.0000000076892381,optimal,0.0,0.0011804471384158177,0.9999528720705328,0.0,0.0,0.0005902247011599427,optimal
YCR048W,v2a_historical_ethanol_stage,r_0126;r_0128;r_0129;r_0130;r_0131;r_0133;r_0134;r_0135,8,True,0.010416437798675585,0.010416435668689281,optimal,True,1.2499723244553062e-08,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.999999795516822,optimal,0.0,0.010432184547952776,1.0000000179332211,optimal,0.0,0.005902274803611832,1.0000048771157188,optimal,0.0,0.0011805045030967905,1.000001465502316,0.0,0.0,0.0005902248394162875,optimal
YDL015C,v2a_historical_ethanol_stage,r_2175;r_2176;r_2177;r_2178;r_2179;r_2180;r_2181,7,True,0.010416437798675585,0.010416437573544428,optimal,True,1.2499725530379318e-08,1.2499725530379318e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999999783869341,optimal,0.0,0.010432146567595783,0.9999963772424818,optimal,0.0,0.005902246099761715,1.0000000139077077,optimal,0.0,0.0011804492293015553,0.9999546432529353,0.0,0.0,0.0005902812374736185,optimal
YDL024C,v2a_historical_ethanol_stage,r_2064;r_4216,2,True,0.010416437798675585,0.010416433426099778,optimal,True,5.84172221704325e-13,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9999995802234996,optimal,0.0,0.010432149608683014,0.9999966687525937,optimal,0.0,0.005902274730516202,1.0000048647313433,optimal,0.0,0.001180500682705113,0.9999982292611443,0.0,0.0,0.0005902836341435931,optimal
